,artist,song,genres,year,key,mode,duration,bpm
5920,Blondie,Picture This,Rock,1978,C,major,2:59,128BPM
5921,Lou Reed,Street Hassle,Rock,1978,E,major,10:53,131BPM
5922,Martin Circus,Disco Circus,Dance,1979,C,minor,14:10,118BPM
5923,Riccardo Cocciante/Richard Cocciante,Margherita/Marguerite,Pop,1976,,,,
5924,King Crimson,Cat Food,Rock,1970,B,minor,4:53,114BPM
5925,The Clash,Remote Control,Rock,1977,E,minor,3:03,158BPM
5926,The 101ers,Keys to Your Heart,Rock,1976,G,major,3:41,153BPM
5927,Todd Rundgren,International Feel,Pop,1973,F,major,2:50,84BPM
5928,Roxy Music,Beauty Queen,Rock,1973,G,major,4:41,151BPM
5929,Lindisfarne,Lady Eleanor,Rock,1970,B,minor,4:15,105BPM
5930,Bob Dylan,When I Paint My Masterpiece,Rock,1971,,,,
5931,Paul Simon,American Tune,Pop,1973,C,major,3:44,85BPM
5932,Lili Drop,Sur ma mob,Rock,1979,,,,
5933,Lynyrd Skynyrd,Simple Man,Rock,1973,C♯/D♭,major,5:58,121BPM
5934,Amanda Lear,Follow Me,Dance,1978,F,major,4:10,130BPM
5935,Cerrone,Give Me Love,Dance,1977,F♯/G♭,minor,4:42,127BPM
5936,Neil Sedaka,Laughter in the Rain,Pop,1974,F,major,2:50,101BPM
5937,Neil Young,Out on the Weekend,Rock,1972,A,major,4:32,137BPM
5938,Stevie Wright,Evie,Rock,1974,G,major,4:26,80BPM
5939,The Doors,Love Her Madly,Rock,1971,E,minor,3:18,147BPM
5940,Black Sabbath,Symptom of the Universe,Rock,1975,,,,
5941,Generation X,Your Generation,Rock,1977,D,major,3:15,95BPM
5942,Paul Simon,Peace Like a River,Rock,1972,F,major,3:23,127BPM
5943,Frankie Valli,My Eyes Adored You,Pop,1974,B,minor,3:32,138BPM
5944,Kraftwerk,Neonlicht/Neon Lights,Pop,1978,,,,
5945,Loudon Wainwright III,The Swimming Song,Pop,1973,A,major,2:29,93BPM
5946,Miles Davis,Right Off,Rock,1971,F,major,26:54,123BPM
5947,Aerosmith,Last Child,Rock,1976,G♯/A♭,major,3:26,167BPM
5948,Hot Butter,Popcorn,Pop,1972,B,minor,2:33,135BPM
5949,Linda Ronstadt,"Long, Long Time",Pop,1970,A,major,4:23,91BPM
5950,Skids,Into the Valley,Rock,1979,G,major,3:19,145BPM
5951,Squeeze,Cool For Cats,Rock,1979,C,major,3:14,144BPM
5952,Bob Seger & The Silver Bullet Band,Rock and Roll Never Forgets,Rock,1976,,,,
5953,Ian Hunter,Cleveland Rocks,Rock,1979,C♯/D♭,major,5:53,75BPM
5954,Willie Nelson,Stardust,Pop,1978,A,minor,3:52,72BPM
5955,Phreek,Weekend ,Dance,1978,,,,
5956,Dan Fogelberg,Longer,Pop,1979,G,major,3:15,158BPM
5957,Donny Osmond,Puppy Love,Pop,1972,C♯/D♭,major,3:03,203BPM
5958,Olivia Newton-John,I Honestly Love You,Pop,1974,A♯/B♭,major,3:37,134BPM
5959,The Damned,Smash It Up,Rock,1979,C,major,4:45,92BPM
5960,Crime,Hot Wire My Heart,Rock,1976,C,major,3:18,143BPM
5961,The Allman Brothers Band,Hot 'Lanta,Rock,1971,A,minor,6:47,87BPM
5962,Jim Croce,I Got a Name,Pop,1973,E,major,3:10,87BPM
5963,Lou Reed,Sad Song,Rock,1973,D,major,6:56,143BPM
5964,Talking Heads,Love -> Building on Fire,Rock,1977,,,,
5965,Television Personalities,Part-Time Punks,Rock,1978,E,major,2:39,82BPM
5966,Kevin Ayers and the Whole World,May I?,Rock,1970,,,,
5967,Tom Petty and The Heartbreakers,Here Comes My Girl,Rock,1979,E,major,4:24,105BPM
5968,Dalida,Il venait d'avoir 18 ans,Pop,1974,,,,
5969,Nino Ferrer,La Maison près de la fontaine,Pop,1971,F,minor,3:45,88BPM
5970,Eric Clapton,Motherless Children,Rock,1974,A,major,4:51,128BPM
5971,Tony Orlando & Dawn,Knock Three Times,Pop,1970,,,,
5972,Bob Dylan,If Not for You,Rock,1970,A,major,2:40,139BPM
5973,Charlie Daniels,Uneasy Rider,Rock,1973,C,major,5:18,96BPM
5974,Godley & Creme,An Englishman in New York,Pop,1979,,,,
5975,Le Pamplemousse,Le Spank,Dance,1977,,,,
5976,Serge Gainsbourg,Valse de Melody,Pop,1971,G♯/A♭,major,1:32,86BPM
5977,Secos & Molhados,Sangue Latino,Pop,1973,,,,
5978,Leo Sayer,When I Need You,Pop,1976,,,,
5979,Brian Eno,Cindy Tells Me,Rock,1974,,,,
5980,Electric Light Orchestra,Roll Over Beethoven,Rock,1973,E,minor,8:09,172BPM
5981,Boney M,Rivers of Babylon,Dance,1978,,,,
5982,ABBA,The Name of the Game,Pop,1977,A,major,4:54,77BPM
5983,The Who,Bargain,Rock,1971,D♯/E♭,major,5:35,134BPM
5984,Ten Years After,I'd Love to Change the World,Rock,1971,,,,
5985,Sparks,Amateur Hour,Rock,1974,F,major,3:34,148BPM
5986,Can,Mother Sky,Rock,1970,,,,
5987,Led Zeppelin,The Rover,Rock,1975,F♯/G♭,minor,5:37,205BPM
5988,The Saints,This Perfect Day,Rock,1977,A,major,2:30,161BPM
5989,Boston,Foreplay/Long Time,Rock,1976,,,,
5990,Village People,San Francisco (Youve Got Me),Dance,1977,,,,
5991,Deep Purple,Space Truckin',Rock,1972,A,major,4:37,129BPM
5992,Cat Stevens,Where Do the Children Play,Pop,1970,,,,
5993,B.W. Stevenson,My Maria,Rock,1973,E,major,2:33,122BPM
5994,Vox Dei,Presente (El momento en que estás),Rock,1970,C,major,3:14,103BPM
5995,The Sensational Alex Harvey Band,The Faith Healer,Rock,1973,G,minor,7:13,132BPM
5996,Teri DeSario,Ain't Nothin' Gonna Keep Me From You,Dance,1978,,,,
5997,Cher,Dark Lady,Pop,1974,G♯/A♭,major,3:29,147BPM
5998,Black Sabbath,Children of the Grave,Rock,1971,,,,
5999,Serú Girán,Seminare,Rock,1978,G,major,3:23,125BPM
6000,Conway Twitty & Loretta Lynn,After the Fire Is Gone,Pop,1971,,,,
6001,The Move,Do Ya,Rock,1972,,,,
6002,Chris Spedding,Motor Bikin',Rock,1975,F♯/G♭,minor,2:37,156BPM
6003,The Clash,Brand New Cadillac,Rock,1979,A,major,2:08,152BPM
6004,Gary Stewart,She's Actin' Single (I'm Drinkin' Doubles),Pop,1975,,,,
6005,Supertramp,School,Rock,1974,E,minor,5:35,90BPM
6006,Molly Hatchet,Flirtin' with Disaster,Rock,1979,E,major,4:58,180BPM
6007,The Doors,Waiting for the Sun,Rock,1970,A,minor,3:59,89BPM
6008,Creedence Clearwater Revival,Sweet Hitch-Hiker,Rock,1971,D,major,2:57,143BPM
6009,Véronique Sanson,Vancouver,Pop,1976,B,major,4:06,144BPM
6010,MC5,Shakin' Street,Rock,1970,A,major,2:19,78BPM
6011,Los Jaivas,Todos juntos,Rock,1972,F,minor,5:53,114BPM
6012,Bob Dylan & The Band,Tears of Rage,Rock,1975,,,,
6013,AC/DC,Sin City,Rock,1978,,,,
6014,Olivia Newton-John,If You Love Me (Let Me Know),Pop,1974,F,major,3:12,129BPM
6015,New York Dolls,Chatterbox,Rock,1974,A,major,2:26,139BPM
6016,J.D. Souther,You're Only Lonely,Rock,1979,,,,
6017,Randy Newman,Rednecks,Rock,1974,G,major,3:05,121BPM
6018,The Modern Lovers,She Cracked,Rock,1976,D,major,4:21,135BPM
6019,The Hollies,Long Cool Woman (In a Black Dress),Rock,1971,E,major,3:17,139BPM
6020,Ray Stevens,The Streak,Pop,1974,C,major,3:18,120BPM
6021,Crystal Gayle,Don't It Make My Brown Eyes Blue,Pop,1977,,,,
6022,Alice Cooper,Billion Dollar Babies,Rock,1973,A,minor,3:44,91BPM
6023,The Cure,Jumping Someone Else's Train,Rock,1979,,,,
6024,Neil Young,Tired Eyes,Rock,1975,G,major,4:33,128BPM
6025,David Bowie,Breaking Glass,Rock,1977,,,,
6026,Jethro Tull,Bungle in the Jungle,Rock,1974,B,minor,3:37,104BPM
6027,Frank Zappa,Don't Eat the Yellow Snow,Rock,1974,,,,
6028,Ramses Shaffy,Ik Drink,Pop,1978,C,minor,4:26,83BPM
6029,Manal,Jugo de tomate,Rock,1970,A,major,2:46,120BPM
6030,Genesis,The Cinema Show,Rock,1973,D,major,11:06,134BPM
6031,Mountain,Nantucket Sleighride (For Owen Coffin),Rock,1971,,,,
6032,Foreigner,Double Vision,Rock,1978,A,minor,3:45,130BPM
6033,The Doobie Brothers,China Grove,Rock,1973,A,major,3:15,146BPM
6034,Iggy Pop,Dum Dum Boys,Rock,1977,G,major,7:17,77BPM
6035,Genesis,Firth of Fifth,Rock,1973,E,minor,9:37,129BPM
6036,Patti Smith,Pissing in a River,Rock,1976,A,minor,4:51,113BPM
6037,Glen Campbell,Southern Nights,Pop,1977,B,minor,3:00,95BPM
6038,Gram Parsons,We'll Sweep out the Ashes in the Morning,Rock,1973,,,,
6039,The Rolling Stones,Rip This Joint,Rock,1972,D,major,2:23,98BPM
6040,Spectrum,I'll Be Gone,Rock,1971,,,,
6041,Village People,Macho Man,Dance,1978,C,major,3:30,133BPM
6042,Tom Robinson Band,Up Against The Wall,Rock,1978,G,major,3:34,157BPM
6043,Pierre Perret,Le Zizi (ou l'éducation sexuelle à l'école),Pop,1974,,,,
6044,Pink Floyd,Sheep,Rock,1977,A,minor,10:19,135BPM
6045,ZZ Top,Beer Drinkers & Hell Raisers,Rock,1973,,,,
6046,Stephen Stills,Change Partners,Rock,1971,A,major,3:18,165BPM
6047,John Conlee,Rose Colored Glasses,Pop,1978,G,major,3:41,97BPM
6048,Trooper,Raise a Little Hell,Rock,1978,D,major,3:42,140BPM
6049,Neil Young,Revolution Blues,Rock,1974,A,minor,4:04,176BPM
6050,Lynyrd Skynyrd,Tuesday's Gone,Rock,1973,,,,
6051,Genesis,Watcher of the Skies,Rock,1972,,,,
6052,Dr. Feelgood,Milk and Alcohol,Rock,1978,C,major,2:49,170BPM
