,artist,song,genres,year,key,mode,duration,bpm
3485,Fatboy Slim,Going Out of My Head,Dance,1996,C,major,5:10,133BPM
3486,The Divine Comedy,National Express,Pop,1998,D,major,5:06,90BPM
3487,Mellow,Instant Love,Rock,1999,,,,
3488,Maurizio,M7,Dance,1997,,,,
3489,Joe Meek feat. The Blue Men,I Hear a New World,Pop,1991,,,,
3490,Grace,Not Over Yet,Dance,1995,F♯/G♭,minor,6:02,130BPM
3491,Pink Floyd,High Hopes,Rock,1994,C,minor,8:31,75BPM
3492,Alice in Chains,Down in a Hole,Rock,1992,F♯/G♭,major,5:38,97BPM
3493,Soundgarden,Rusty Cage,Rock,1991,A,major,4:26,102BPM
3494,Credit to the Nation,Call It What You Want,Hip Hop,1993,,,,
3495,LL Cool J,Loungin',Hip Hop,1995,A♯/B♭,minor,4:12,91BPM
3496,Jimi Tenor,Take Me Baby,Dance,1994,A♯/B♭,major,3:39,127BPM
3497,James,Come Home (Flood Mix),Rock,1990,,,,
3498,Lou Reed,Sword of Damocles - Externally,Rock,1992,,,,
3499,Quannum M.C.'s,Extravaganza,Hip Hop,1999,,,,
3500,DMX,Slippin',Hip Hop,1998,A♯/B♭,minor,5:05,87BPM
3501,Elio e le Storie Tese,La terra dei cachi,Rock,1996,C,major,4:41,91BPM
3502,Noir Désir,En route pour la joie,Rock,1991,B,major,3:26,116BPM
3503,Big L,Ebonics (Criminal Slang),Hip Hop,1998,F♯/G♭,major,3:21,94BPM
3504,Soundgarden,Blow Up the Outside World,Rock,1996,A,major,5:47,140BPM
3505,The Justified Ancients of Mu Mu [The KLF],It's Grim Up North,Dance,1990,,,,
3506,Belle and Sebastian,It Could Have Been a Brilliant Career,Pop,1998,,,,
3507,Helium,XXX,Rock,1994,D,major,5:18,167BPM
3508,UGK,Pocket Full of Stones,Hip Hop,1993,F,minor,6:09,152BPM
3509,Mercury Rev,Chasing a Bee,Rock,1991,A,major,7:09,124BPM
3510,Primus,Jerry Was a Race Car Driver,Rock,1991,F♯/G♭,minor,3:11,123BPM
3511,The Smashing Pumpkins,Zero,Rock,1995,G♯/A♭,major,2:41,128BPM
3512,Pearl Jam,Rearviewmirror,Rock,1993,B,minor,4:44,159BPM
3513,Piano Magic,I Am the Sub-Librarian,Rock,1998,,,,
3514,The Fatima Mansions,Blues for Ceausescu,Rock,1990,,,,
3515,Soda Stereo,Ella usó mi cabeza como un revolver,Rock,1995,F,major,4:39,165BPM
3516,MC Eiht,Streiht Up Menace,Hip Hop,1993,G,major,4:38,86BPM
3517,Black Moon,Who Got da Props?,Hip Hop,1992,G♯/A♭,minor,4:30,100BPM
3518,Liz Phair,"6'1""",Rock,1993,,,,
3519,Luna,Bonnie & Clyde,Pop,1995,,,,
3520,Cibo Matto,Sugar Water,Pop,1996,G,major,4:30,78BPM
3521,Darcy Clay,Jesus I Was Evil,Rock,1997,B,minor,2:52,113BPM
3522,Belle and Sebastian,Like Dylan in the Movies,Pop,1996,,,,
3523,Basement Jaxx,Fly Life,Dance,1996,D,major,6:14,127BPM
3524,Radiohead,Planet Telex,Rock,1995,A,minor,4:19,149BPM
3525,Spiritualized,Medication,Rock,1992,,,,
3526,Monster Magnet,Space Lord,Rock,1998,A♯/B♭,major,5:56,96BPM
3527,TRU feat. Mia X,"I'm Bout It, Bout It",Hip Hop,1995,,,,
3528,Jeff Buckley,Dream Brother,Rock,1994,C,major,5:25,95BPM
3529,A Tribe Called Quest,Jazz (We've Got),Hip Hop,1991,,,,
3530,Kool G Rap & DJ Polo,Streets of New York,Hip Hop,1990,,,,
3531,Guided by Voices,The Official Ironmen Rallysong,Rock,1996,,,,
3532,N.W.A,Alwayz Into Somethin',Hip Hop,1991,,,,
3533,DJ Shadow,Lost & Found (S.F.L.),Hip Hop,1994,,,,
3534,Jeff Buckley,"Lover, You Should've Come Over",Rock,1994,,,,
3535,Melvins,Hooch,Rock,1993,G,minor,2:49,104BPM
3536,Belle and Sebastian,Judy and the Dream of Horses,Pop,1996,,,,
3537,C.J. Bolland,Sugar Is Sweeter,Dance,1996,,,,
3538,Mos Def Feat. Q-Tip & Tash,Body Rock,Hip Hop,1998,,,,
3539,DJ Zinc,138 Trek,Dance,1999,F♯/G♭,minor,5:09,138BPM
3540,Lord Tariq & Peter Gunz,Deja Vu (Uptown Baby),Hip Hop,1997,,,,
3541,Green Day,Hitchin' a Ride,Rock,1997,A,major,2:51,164BPM
3542,Madonna,Drowned World / Substitute for Love,Pop,1998,,,,
3543,Run-D.M.C.,Down with the King,Hip Hop,1993,A♯/B♭,minor,5:03,96BPM
3544,Radiohead,Subterranean Homesick Alien,Rock,1997,C,major,4:28,151BPM
3545,Zebda,Le Bruit et l'odeur,Pop,1995,,,,
3546,Joe Henry & Madonna,Guilty by Association,Rock,1996,,,,
3547,Mägo de Oz,Molinos de viento,Rock,1998,G,major,4:12,138BPM
3548,Ruthless Rap Assassins,And It Wasn't a Dream,Hip Hop,1990,,,,
3549,Ahmad,Back in the Day,Hip Hop,1994,,,,
3550,The Notorious B.I.G.,Ten Crack Commandments,Hip Hop,1997,G♯/A♭,major,3:24,174BPM
3551,Chubb Rock,Treat 'Em Right,Hip Hop,1990,C♯/D♭,major,4:43,116BPM
3552,Roni Size / Reprazent,Share the Fall,Dance,1997,,,,
3553,Tool,AEnema,Rock,1996,C,major,6:39,182BPM
3554,David Morales Presents The Face,Needin' U,Dance,1998,,,,
3555,Ultramarine,Kingdom,Dance,1993,C,major,4:53,110BPM
3556,Mr. Scruff,Get a Move On!,Dance,1999,,,,
3557,Orbital,Satan,Dance,1991,G,major,3:46,110BPM
3558,Foo Fighters,Exhausted,Rock,1995,G,major,5:50,121BPM
3559,Héroes del Silencio,Maldito duende,Rock,1990,E,minor,4:13,126BPM
3560,Fiona Apple,Fast As You Can,Pop,1999,C,major,4:38,138BPM
3561,Sepultura,Dead Embryonic Cells,Rock,1991,B,major,4:52,107BPM
3562,Nice & Smooth,Hip Hop Junkies,Hip Hop,1991,,,,
3563,Tiger,Race,Rock,1996,,,,
3564,Slipknot,Surfacing,Rock,1999,B,minor,3:38,107BPM
3565,Ron Sexsmith,"Lebanon, Tennessee",Pop,1995,,,,
3566,Barenaked Ladies,If I Had $1000000,Rock,1996,,,,
3567,Cassius,Feeling for You,Dance,1999,F♯/G♭,major,4:38,133BPM
3568,Tracy Chapman,Give Me One Reason,Rock,1995,B,major,4:28,100BPM
3569,Bassheads,Is There Anybody Out There?,Dance,1991,D,major,9:08,124BPM
3570,Elvis Costello,She,Pop,1999,C♯/D♭,major,3:08,131BPM
3571,LTJ Bukem,Music,Dance,1993,B,minor,8:49,155BPM
3572,AC/DC,Big Gun,Rock,1993,,,,
3573,Arrested Development,Revolution,Hip Hop,1992,B,minor,4:46,97BPM
3574,Prefab Sprout,A Prisoner of the Past,Pop,1997,,,,
3575,Sebadoh,Gimme Indie Rock,Rock,1991,,,,
3576,Suzanne Vega,Blood Makes Noise,Pop,1992,B,major,2:28,88BPM
3577,Alison Krauss,When You Say Nothing At All,Pop,1995,,,,
3578,Busta Rhymes,Dangerous,Hip Hop,1997,B,minor,3:39,103BPM
3579,Timbaland and Magoo,Up Jumps da Boogie,Hip Hop,1997,,,,
3580,Manic Street Preachers,From Despair to Where,Rock,1993,G,major,3:37,132BPM
3581,Mobb Deep,Drop a Gem on 'Em,Hip Hop,1996,C♯/D♭,major,4:18,95BPM
3582,Emperor,I Am the Black Wizards,Rock,1994,C,major,6:02,102BPM
3583,Daft Punk,Revolution 909,Dance,1997,B,major,5:35,127BPM
3584,Queen Latifah,U.N.I.T.Y.,Hip Hop,1993,,,,
3585,Eric B. & Rakim,Don't Sweat the Technique,Hip Hop,1992,,,,
3586,The Rockingbirds,Gradually Learning,Pop,1992,,,,
3587,DJ Sneak,You Can't Hide from Your Bud,Dance,1997,,,,
3588,The Dust Brothers,My Mercury Mouth,Dance,1994,,,,
3589,The Wiseguys,Ooh La La,Dance,1998,C♯/D♭,major,5:53,124BPM
3590,A Tribe Called Quest,Excursions,Hip Hop,1991,B,major,3:55,96BPM
3591,The Roots feat. DJ Jazzy Jeff and Jazzyfatnastees,The Next Movement,Hip Hop,1999,,,,
3592,Skunk Anansie,Weak,Rock,1995,E,minor,3:32,95BPM
3593,Orbital,Are We Here?,Dance,1994,C,major,15:34,143BPM
3594,Photek,Ni-Ten-Ichi-Ryu,Dance,1997,,,,
3595,Neutral Milk Hotel,Song Against Sex,Rock,1996,F,major,3:41,173BPM
3596,Melissa Etheridge,I'm the Only One,Rock,1993,,,,
3597,Les Rita Mitsouko,Y'a d'la Haine,Pop,1993,,,,
3598,Rinôçérôse,Le Mobilier,Dance,1998,G,major,5:19,128BPM
3599,Shania Twain,Any Man of Mine,Pop,1995,G♯/A♭,major,4:07,78BPM
3600,Mary Chapin Carpenter,He Thinks He'll Keep Her,Pop,1992,,,,
3601,Sebadoh,Brand New Love,Rock,1992,C♯/D♭,major,4:04,105BPM
3602,Arrested Development,Mr. Wendal,Hip Hop,1992,,,,
3603,Smashing Pumpkins,Drown,Rock,1992,,,,
3604,Westside Connection,Bow Down,Hip Hop,1996,A,major,3:32,93BPM
3605,Spiritualized,Come Together,Rock,1997,E,minor,4:41,171BPM
3606,The Pastels,Unfair Kind of Fame,Pop,1997,,,,
3607,Uncle Tupelo,No Depression,Rock,1990,C,major,2:20,114BPM
3608,Red House Painters,Katy Song,Rock,1993,C♯/D♭,major,8:23,155BPM
3609,Jean-Louis Murat,Le col de la Croix-Morand,Pop,1991,,,,
3610,Black Box Recorder,Child Psychology,Pop,1998,D,major,4:08,161BPM
3611,Stone Temple Pilots,Big Empty,Rock,1994,G,major,4:54,122BPM
3612,The Beatnuts feat. Big Punisher & Cuban Link,Off the Books,Hip Hop,1997,,,,
3613,Hayden,Bad As They Seem,Rock,1995,F,major,3:31,71BPM
3614,Les Rythmes Digitales,Music Makes You Lose Control,Dance,1998,B,minor,3:47,142BPM
3615,Genius/GZA feat. Method Man,Shadowboxin',Hip Hop,1995,,,,
3616,Smog,I Break Horses,Rock,1996,C♯/D♭,minor,6:14,165BPM
3617,Ice-T,O.G. Original Gangster,Hip Hop,1991,,,,
3618,Morrissey,Pregnant for the Last Time,Pop,1991,,,,
3619,The House Crew,Euphoria (Nino's Dream),Dance,1993,,,,
3620,Death,The Philosopher,Rock,1993,F♯/G♭,minor,4:13,133BPM
3621,Pearl Jam,Spin the Black Circle,Rock,1994,C,major,2:49,217BPM
3622,Failure,Stuck on You,Rock,1996,G♯/A♭,major,4:29,142BPM
3623,Soulwax,Conversation Intercom,Rock,1998,B,major,3:07,92BPM
3624,Dr. Dre & Ice Cube / Tha Dogg Pound,Natural Born Killaz,Hip Hop,1994,,,,
3625,Skunk Anansie,Hedonism (Just Because You Feel Good),Rock,1996,A♯/B♭,major,3:27,81BPM
3626,Mos Def,Mathematics,Hip Hop,1999,C♯/D♭,minor,4:06,94BPM
3627,MC Lyte,Cold Rock a Party,Hip Hop,1996,B,minor,4:07,93BPM
3628,Marilyn Manson,Tourniquet,Rock,1996,F,minor,4:29,90BPM
3629,Elliott Smith,Independence Day,Pop,1998,C,major,3:05,87BPM
3630,Mayhem,Freezing Moon,Rock,1991,E,major,6:23,93BPM
3631,Naughty by Nature,Uptown Anthem,Hip Hop,1991,C♯/D♭,minor,3:04,103BPM
3632,Shakira,"Ciega, sordomuda",Pop,1998,C♯/D♭,major,4:28,120BPM
3633,Akinyele,Put It in Your Mouth,Hip Hop,1996,G,major,3:23,82BPM
3634,Neutral Milk Hotel,Ghost,Rock,1998,E,major,4:09,136BPM
3635,The Notorious B.I.G.,Warning,Hip Hop,1994,F♯/G♭,major,3:39,86BPM
3636,Emmylou Harris,Wrecking Ball,Pop,1995,G,major,4:49,99BPM
3637,"Cool Breeze feat. OutKast, Goodie Mob & Witchdoctor",Watch for the Hook,Hip Hop,1999,,,,
3638,Placebo,Every You Every Me,Rock,1998,A♯/B♭,major,3:34,133BPM
3639,Moby,Move (You Make Me Feel So Good),Dance,1993,,,,
3640,The Cranberries,Salvation,Rock,1996,A♯/B♭,major,2:23,169BPM
3641,Enya,Anywhere Is,Pop,1995,D♯/E♭,major,3:58,97BPM
3642,Nas,One Love,Hip Hop,1994,C,major,5:26,93BPM
3643,Throwing Muses,Not Too Soon,Rock,1991,E,major,3:11,154BPM
3644,Cat Power,Nude as the News,Rock,1996,E,minor,4:24,120BPM
3645,World of Twist,Sons of the Stage,Rock,1991,,,,
3646,Veruca Salt,Volcano Girls,Rock,1997,E,major,3:19,131BPM
3647,Mescalinum United,We Have Arrived,Dance,1990,,,,
3648,Extremoduro,So payaso,Rock,1996,E,minor,4:42,151BPM
3649,Metallica,Wherever I May Roam,Rock,1991,B,major,6:44,131BPM
3650,DJ Misjah & DJ Tim,Access,Dance,1995,,,,
3651,The Divine Comedy,Becoming More Like Alfie,Pop,1996,E,minor,3:00,161BPM
3652,Muse,Unintended,Rock,1999,F♯/G♭,minor,3:57,139BPM
3653,Ice-T,New Jack Hustler (Nino's Theme),Hip Hop,1991,,,,
3654,Cypress Hill,Hand on the Pump,Hip Hop,1991,C,major,4:03,98BPM
3655,Come,Saints Around My Neck,Rock,1998,,,,
3656,Tom Petty and The Heartbreakers,Into the Great Wide Open,Rock,1991,E,minor,3:43,82BPM
3657,O.C.,Time's Up,Hip Hop,1994,C♯/D♭,major,2:59,89BPM
3658,"Dr. Dre feat. Hittman, 6Two, Nate Dogg, Kurupt",Xxplosive,Hip Hop,1999,,,,
3659,Tindersticks,Jism,Pop,1993,B,minor,6:04,110BPM
3660,Gloria Estefan,Mi tierra,Pop,1993,C♯/D♭,minor,4:39,99BPM
3661,Sigur Rós,Agaetis Byrjun,Rock,1999,G,major,7:56,129BPM
3662,Wamdue Project,King of My Castle,Dance,1998,C♯/D♭,major,8:14,111BPM
3663,KRS-One,MC's Act Like They Don't Know,Hip Hop,1995,,,,
3664,The Jesus and Mary Chain,Reverence,Rock,1992,B,minor,3:41,105BPM
3665,Q-Tip,Breathe and Stop,Hip Hop,1999,G,major,4:04,99BPM
3666,Blue Rodeo,Hasn't Hit Me Yet,Rock,1993,,,,
3667,Naughty by Nature,Everything's Gonna Be Alright (Ghetto Bastard),Hip Hop,1991,,,,
3668,Monster Magnet,Negasonic Teenage Warhead,Rock,1995,G♯/A♭,major,4:28,118BPM
3669,Suprême NTM,La Fièvre,Hip Hop,1995,A♯/B♭,minor,3:55,90BPM
3670,Morrissey,November Spawned a Monster,Pop,1990,A♯/B♭,major,5:23,113BPM
3671,Kool G Rap & DJ Polo,On the Run,Hip Hop,1992,,,,
3672,Creed,With Arms Wide Open,Rock,1999,C,major,4:35,139BPM
3673,The Orb,Perpetual Dawn,Dance,1991,B,minor,9:32,103BPM
3674,A House,Endless Art,Rock,1991,C,major,3:02,95BPM
3675,Bone Thugs-N-Harmony,Thuggish Ruggish Bone,Hip Hop,1994,B,minor,4:42,130BPM
3676,Smog,Teenage Spaceship,Rock,1999,D,major,3:59,142BPM
3677,The Lemonheads,Different Drum,Rock,1990,A,major,2:49,133BPM
3678,David Bowie,The Hearts Filthy Lesson,Rock,1995,B,minor,4:58,89BPM
3679,Adam F,Metropolis,Dance,1996,C♯/D♭,major,6:31,167BPM
3680,Tricky Disco,Tricky Disco,Dance,1990,,,,
3681,Ministry,Just One Fix,Rock,1992,C,major,5:10,133BPM
3682,Mobb Deep,Quiet Storm,Hip Hop,1999,A,major,3:54,98BPM
3683,Hyper On Experience,Lords of The Null Lines,Dance,1993,,,,
3684,Elliott Smith,Angeles,Rock,1996,E,minor,2:56,118BPM
3685,Spiritualized,Feel So Sad,Rock,1991,G,major,8:07,95BPM
3686,React 2 Rhythm,Intoxication,Dance,1991,,,,
3687,Energy 52,Cafe' del Mar,Dance,1993,,,,
3688,David Bowie,I'm Deranged,Rock,1995,,,,
3689,EPMD,Crossover,Hip Hop,1992,A♯/B♭,minor,3:49,101BPM
3690,Del tha Funkeé Homosapien,Mistadobalina,Hip Hop,1991,,,,
3691,The Black Crowes,Thorn in My Pride,Rock,1992,F♯/G♭,minor,9:36,139BPM
3692,B-Rock & The Bizz,MyBabyDaddy,Hip Hop,1997,,,,
3693,Therapy?,Screamager,Rock,1993,,,,
3694,Gomez,Whippin' Piccadilly,Rock,1998,C♯/D♭,major,3:12,115BPM
3695,The Flaming Lips,Bad Days,Rock,1994,A,major,4:36,121BPM
3696,The Amps,Tipp City,Rock,1995,G,minor,2:08,125BPM
3697,Rage Against the Machine,Sleep Now in the Fire,Rock,1999,D,major,3:26,127BPM
3698,Mogwai,Like Herod,Rock,1997,E,major,11:40,129BPM
3699,P.M. Dawn,Paper Doll,Hip Hop,1991,F♯/G♭,minor,4:53,106BPM
3700,The Tragically Hip,Bobcaygeon,Rock,1998,G,major,5:00,167BPM
3701,Apache,Gangsta Bitch,Hip Hop,1992,G,major,4:44,97BPM
3702,Foo Fighters,Breakout,Rock,1999,B,minor,3:21,157BPM
3703,Foul Play,Open Your Mind,Dance,1993,,,,
3704,Gravediggaz feat. Shabazz the Disciple & Killah Priest,Diary of a Madman,Hip Hop,1994,,,,
3705,Silver Jews,Smith & Jones Forever,Rock,1998,,,,
3706,311,Down,Rock,1995,F♯/G♭,minor,2:51,175BPM
3707,Depeche Mode,World in My Eyes,Pop,1990,,,,
3708,Urban Soul,Alright,Dance,1991,,,,
3709,Opus III,It's a Fine Day,Dance,1992,,,,
3710,Muse,Sunburn,Rock,1999,E,minor,3:54,93BPM
3711,R.E.M.,Crush with Eyeliner,Rock,1994,D,major,4:39,107BPM
3712,Neil Young and Crazy Horse,Fuckin' Up,Rock,1990,,,,
3713,Snoop Doggy Dogg,Doggy Dogg World,Hip Hop,1993,,,,
3714,Depeche Mode,In Your Room,Rock,1993,,,,
3715,Sonic Youth,Dirty Boots,Rock,1990,B,minor,5:29,142BPM
3716,Tool,Forty Six & 2,Rock,1996,,,,
3717,Black Sheep,Flavor of the Month,Hip Hop,1991,A♯/B♭,minor,4:19,97BPM
3718,Jeff Buckley,So Real,Rock,1994,E,minor,4:40,77BPM
3719,Krust feat. Saul Williams,Coded Language,Dance,1999,,,,
3720,Six By Seven,88-92-96,Rock,1998,,,,
3721,Goodie Mob feat. OutKast,Black Ice (Sky High),Hip Hop,1998,,,,
3722,The Notorious B.I.G.,Suicidal Thoughts,Hip Hop,1994,F,minor,2:50,79BPM
3723,Pearl Jam,Go,Rock,1993,C♯/D♭,major,3:13,140BPM
3724,bob hund,Ett fall och en lösning,Rock,1997,A,major,4:26,132BPM
3725,Keith Murray,The Most Beautifullest Thing in This World,Hip Hop,1994,C,major,3:46,93BPM
3726,Talk Talk,Ascension Day,Rock,1991,D♯/E♭,minor,6:00,141BPM
3727,Moodymann,Dem Young Sconies,Dance,1997,F♯/G♭,major,5:19,120BPM
3728,LL Cool J,Doin' It,Hip Hop,1995,A♯/B♭,minor,4:54,95BPM
3729,Sleater-Kinney,Little Babies,Rock,1997,A,major,2:23,147BPM
3730,Apollo 440,Stop the Rock,Dance,1999,A♯/B♭,major,3:33,150BPM
3731,Jay-Z,Can I Live,Hip Hop,1996,A,major,4:09,76BPM
3732,R.E.M.,Find the River,Rock,1992,D,major,4:00,149BPM
3733,Gorky's Zygotic Mynci,Spanish Dance Troupe,Pop,1999,,,,
3734,David Thomas & Two Pale Boys,Surfer Girl/Around the Fire,Rock,1997,,,,
3735,Type O Negative,My Girlfriend's Girlfriend,Rock,1996,,,,
3736,Alice in Chains,Them Bones,Rock,1992,A,major,2:31,165BPM
3737,LTJ Bukem,Horizons,Dance,1994,,,,
3738,Fun Lovin' Criminals,Fun Lovin Criminal,Rock,1996,,,,
3739,Dubstar,Stars,Pop,1995,,,,
3740,DJ Crystl,Perpetual Motion,Dance,1995,,,,
3741,Cornelius,Star Fruits Surf Rider,Pop,1997,B,minor,5:48,160BPM
3742,Manic Street Preachers,Motown Junk,Rock,1991,D,major,3:58,170BPM
3743,Marilyn Manson,Lunchbox,Rock,1994,A,major,4:34,168BPM
3744,The Magnetic Fields,Busby Berkeley Dreams,Pop,1999,G,major,3:37,95BPM
3745,M.O.P,How About Some Hardcore,Hip Hop,1993,,,,
3746,The KLF,Last Train to Transcentral (Live from the Lost Continent),Dance,1991,,,,
3747,Super Furry Animals,Hometown Unicorn,Rock,1996,A,major,3:34,81BPM
3748,The Magnetic Fields,I Don't Believe You,Pop,1998,,,,
3749,Eminem,Role Model,Hip Hop,1999,D,major,3:25,92BPM
3750,Pavement,Give It a Day,Rock,1996,A,major,2:39,171BPM
3751,The Orb,Blue Room,Dance,1992,A,minor,17:35,116BPM
3752,Kent,Om du var här/If You Were Here,Rock,1997,,,,
3753,Lil' Kim feat. Puff Daddy,No Time,Hip Hop,1996,,,,
3754,MC Lyte,Ruffneck,Hip Hop,1993,C♯/D♭,minor,3:57,204BPM
3755,Do or Die feat. Johnny P & Twista,Po Pimp,Hip Hop,1996,,,,
3756,The Notorious B.I.G.,Things Done Changed,Hip Hop,1994,C♯/D♭,major,3:58,91BPM
3757,Napalm Death,Twist the Knife (Slowly),Rock,1994,G♯/A♭,major,2:54,92BPM
3758,Lost Boyz,"Jeeps, Lex Coups, Bimaz & Benz",Hip Hop,1995,,,,
3759,The Rolling Stones,Highwire,Rock,1991,G,major,4:47,127BPM
3760,-M-,Machistador,Pop,1998,,,,
3761,Live,Selling the Drama,Rock,1994,F♯/G♭,major,3:25,125BPM
3762,Oxmo Puccino,L'enfant seul,Hip Hop,1998,,,,
3763,Mary Chapin Carpenter,Passionate Kisses,Rock,1992,D,major,3:22,140BPM
3764,Ice Cube,Steady Mobbin',Hip Hop,1991,C,major,4:10,98BPM
3765,Sugar,JC Auto,Rock,1993,E,major,6:14,129BPM
3766,Los Enemigos,Septiembre,Rock,1990,E,major,3:31,132BPM
3767,Gang Starr,Check the Technique,Hip Hop,1991,D,major,3:59,95BPM
3768,Zombie Nation,Kernkraft 400,Dance,1999,G♯/A♭,minor,4:45,140BPM
3769,PJ Harvey,To Bring You My Love,Rock,1995,C,major,5:32,116BPM
3770,Smashing Pumpkins,Siva,Rock,1991,,,,
3771,At the Gates,Blinded by Fear,Rock,1995,G,major,3:12,125BPM
3772,Redman,Time 4 Sum Aksion,Hip Hop,1992,,,,
3773,The Tragically Hip,"Grace, Too",Rock,1994,A,major,5:35,84BPM
3774,Acen,Close Your Eyes,Dance,1991,,,,
3775,Rheostatics,Claire,Rock,1994,,,,
3776,Yo La Tengo,Blue Line Swinger,Rock,1995,A,minor,9:18,135BPM
3777,Lambchop,Soaky in the Pooper,Pop,1994,,,,
3778,Faith No More & Boo-Yaa T.R.I.B.E.,Another Body Murdered,Rock,1993,,,,
3779,Underworld,Dirty Epic,Dance,1994,B,minor,10:01,120BPM
3780,Metallica,Ain't My Bitch,Rock,1996,,,,
3781,The Disco Evangelists,De Niro,Dance,1993,,,,
3782,Hole,Beautiful Son,Rock,1993,E,minor,2:27,131BPM
3783,Echo and the Bunnymen,Nothing Lasts Forever,Rock,1997,,,,
3784,-M-,Je dis aime,Pop,1999,,,,
3785,Björk,Possibly Maybe,Pop,1995,B,major,5:05,58BPM
3786,Goodie Mob,Cell Therapy,Hip Hop,1995,C,major,4:37,83BPM
3787,Wu-Tang Clan,Da Mystery of Chessboxin',Hip Hop,1993,D,major,4:47,105BPM
3788,Daft Punk,Rollin' & Scratchin',Dance,1995,,,,
3789,Way Out West,The Gift,Dance,1996,,,,
3790,Reflection Eternal feat. Mos Def & Mr. Man,Fortified Live,Hip Hop,1997,,,,
3791,Inner City,Pennies from Heaven,Dance,1992,A,minor,4:22,123BPM
3792,dEUS,Little Arithmetics,Rock,1996,C,major,4:30,146BPM
3793,Stereo MC's,Elevate My Mind,Hip Hop,1990,,,,
3794,Le Masque,Le terre di Monlué,Rock,1990,,,,
3795,Ice Cube,Dead Homiez,Hip Hop,1990,A♯/B♭,minor,3:53,168BPM
3796,Darude,Sandstorm,Dance,1999,E,minor,3:50,136BPM
3797,Niagara,J'ai vu,Rock,1990,,,,
3798,Beastie Boys,Pass the Mic,Hip Hop,1992,G,major,4:17,168BPM
3799,Pigalle,Dans la salle du bar-tabac de la rue des Martyrs,Rock,1990,E,minor,3:03,165BPM
3800,Slowdive,When the Sun Hits,Rock,1993,D,major,4:46,94BPM
3801,Alex Reece,Feel the Sunshine,Dance,1995,D,minor,6:19,160BPM
3802,Rage Against the Machine,Bombtrack,Rock,1992,E,minor,4:04,152BPM
3803,Mogwai,Stanley Kubrick,Rock,1999,C,major,4:20,92BPM
3804,Orbital,Belfast,Dance,1991,C,major,8:11,120BPM
3805,Geto Boys,Six Feet Deep,Hip Hop,1993,A♯/B♭,minor,5:24,138BPM
3806,Neil Young,From Hank to Hendrix,Rock,1992,C,major,5:51,109BPM
3807,James,Tomorrow,Rock,1997,C,major,3:45,149BPM
3808,Gang Starr,Who's Gonna Take the Weight?,Hip Hop,1990,,,,
3809,Monie Love,Monie in the Middle,Hip Hop,1990,A♯/B♭,minor,3:45,115BPM
3810,MC Breed,Ain't No Future in Yo' Frontin',Hip Hop,1991,,,,
3811,Tonic,If You Could Only See,Rock,1996,A♯/B♭,minor,4:22,95BPM
3812,Green Velvet,Answering Machine,Dance,1997,,,,
3813,Propellerheads,Spybreak!,Dance,1997,,,,
3814,Gastr del Sol,The Seasons Reverse,Rock,1998,C,major,5:52,80BPM
3815,Spiritualized,Good Times,Rock,1993,,,,
3816,Sublime,Wrong Way,Rock,1996,A,major,2:16,75BPM
3817,The Smashing Pumpkins,Thirty-Three,Rock,1995,F♯/G♭,major,4:11,126BPM
3818,Sinéad O'Connor,The Last Days of Our Aquaintance,Pop,1990,,,,
3819,Saint Etienne,You're in a Bad Way,Pop,1993,,,,
3820,Eminem,Just Don't Give a F-k,Hip Hop,1998,,,,
3821,Nirvana,Jesus Doesn't Want Me for a Sunbeam,Rock,1994,,,,
3822,Lost Boyz,Renee,Hip Hop,1996,E,minor,4:54,92BPM
3823,Tom Petty,You Wreck Me,Rock,1994,A♯/B♭,major,3:23,164BPM
3824,Soundgarden,My Wave,Rock,1994,A,minor,5:13,127BPM
3825,Domino,Getto Jam,Hip Hop,1993,A,major,4:19,87BPM
3826,Death in Vegas,Dirt,Dance,1996,G♯/A♭,major,5:53,105BPM
3827,Marlene Kuntz,Nuotando dell'aria,Rock,1994,,,,
3828,Israel Kamakawiwo'ole,Over the Rainbow / What a Wonderful World,Pop,1993,,,,
3829,Goldie Feat. KRS-One,Digital,Dance,1997,,,,
3830,Mos Def,Universal Magnetic,Hip Hop,1997,D,major,4:07,95BPM
3831,Type O Negative,Christian Woman,Rock,1993,B,major,8:58,90BPM
3832,Sting,Shape of My Heart,Pop,1993,F♯/G♭,minor,4:39,84BPM
3833,The Tragically Hip,Courage,Rock,1992,D,major,4:27,134BPM
3834,Hypocrisy,Roswell 47 ,Rock,1996,B,minor,3:56,107BPM
3835,Saint Etienne,Hobart Paving,Pop,1993,C♯/D♭,major,4:50,76BPM
3836,Korn,Got the Life,Rock,1998,B,minor,3:45,123BPM
3837,Gang Starr,Take It Personal,Hip Hop,1992,A♯/B♭,minor,3:10,98BPM
3838,Ozzy Osbourne,"Mama, I'm Coming Home",Rock,1991,,,,
3839,Cracker,Low,Rock,1993,G,major,4:35,87BPM
3840,Renegade Feat. Ray Keith,Terrorist,Dance,1994,,,,
3841,Gorky's Zygotic Mynci,Miss Trudy,Pop,1995,,,,
3842,Nine Inch Nails,March of the Pigs,Rock,1994,D,major,2:59,134BPM
3843,PJ Harvey,The Dancer,Rock,1995,A,minor,4:06,125BPM
3844,Gorky's Zygotic Mynci,Let's Get Together (In Our Minds),Pop,1998,,,,
3845,Living Colour,Love Rears Up Its Ugly Head,Rock,1990,,,,
